CÓDIGO,NOMBRE,OBSERVACIONES,,,,
50057101,TABLA CON CLIP,,,,,
50057102,TABLA CON CLIP,,,,,
50057103,TABLA CON CLIP,,,,,
50057104,TABLA CON CLIP,,,,,
50057105,TABLA CON CLIP,,,,,
50057106,TABLA CON CLIP,,,,,
50057107,TABLA CON CLIP,,,,,
50057108,TABLA CON CLIP,,,,,
50057109,TABLA CON CLIP,,,,,
50057110,TABLA CON CLIP,,,,,
50071725,MESA DE TRABAJO,,,,,
50256201,SANDWICHERA,,,,,
50256202,SANDWICHERA,,,,,
50256203,SANDWICHERA,,,,,
50256204,SANDWICHERA,,,,,
50256205,SANDWICHERA,,,,,
50256206,SANDWICHERA,,,,,
51019101,CÁMARA TERMOGRÁFICA,,,,,
51056301,EXPRIMIDOR DE JUGOS,,,,,
51056302,EXPRIMIDOR DE JUGOS,,,,,
51056303,EXPRIMIDOR DE JUGOS,,,,,
51056304,EXPRIMIDOR DE JUGOS,,,,,
51056305,EXPRIMIDOR DE JUGOS,,,,,
51056306,EXPRIMIDOR DE JUGOS,,,,,
51114101,VERNIER,,,,,
51114102,VERNIER,,,,,
51114103,VERNIER,,,,,
51114201,CABLE CONEXIÓN VERNIER,,,,,
51114202,CABLE CONEXIÓN VERNIER,,,,,
51114203,CABLE CONEXIÓN VERNIER,,,,,
51115201,CABLE CONEXIÓN MICRÓMETRO,,,,,
51115202,CABLE CONEXIÓN MICRÓMETRO,,,,,
51115203,CABLE CONEXIÓN MICRÓMETRO,,,,,
51116201,CABLE CONEXIÓN MEDIDOR DE ALTURAS,,,,,
51116202,CABLE CONEXIÓN MEDIDOR DE ALTURAS,,,,,
51116203,CABLE CONEXIÓN MEDIDOR DE ALTURAS,,,,,
51117101,SONÓMETRO,,,,,
51117102,SONÓMETRO,,,,,
51117103,SONÓMETRO,,,,,
51117104,SONÓMETRO,,,,,
51117105,SONÓMETRO,,,,,
51117201,LUXÓMETRO,SIN CAJA,,,,
51117202,LUXÓMETRO,,,,,
51117203,LUXÓMETRO,,,,,
51117204,LUXÓMETRO,,,,,
51117205,LUXÓMETRO,,,,,
51117206,LUXÓMETRO,,,,,
51118101,GONIÓMETRO,,,,,
51215101,MICRÓMETRO,,,,,
51215102,MICRÓMETRO,NO ENCIENDE,,,,
51215103,MICRÓMETRO,,,,,
51216101,MEDIDOR DE ALTURAS,,,,,
51216102,MEDIDOR DE ALTURAS,,,,,
51216103,MEDIDOR DE ALTURAS,NO ENCIENDE,,,,
51238301,DESTORNILLADOR INALÁMBRICO,,,,,
51238302,DESTORNILLADOR INALÁMBRICO,,,,,
51238303,DESTORNILLADOR INALÁMBRICO,,,,,
51238304,DESTORNILLADOR INALÁMBRICO,,,,,
51238305,DESTORNILLADOR INALÁMBRICO,,,,,
51313103,CINTA METRICA,,,,,
51313301,BÁSCULA,NO ENCIENDE,,,,
51316103,MEDIDOR DE ALTURAS,,,,,
51347301,JUEGO DE BOCINAS,,,,,
51347302,JUEGO DE BOCINAS,,,,,
51347303,JUEGO DE BOCINAS,,,,,
51347304,JUEGO DE BOCINAS,,,,,
51421101,TAPONES PARA OÍDOS,,,,,
51422102,MASCARILLA PROTECTORA,,,,,
51422103,MASCARILLA PROTECTORA,,,,,
51422104,MASCARILLA PROTECTORA,,,,,
51422105,MASCARILLA PROTECTORA,,,,,
51424101,GUANTES DE PRECISIÓN,,,,,
51424102,GUANTES DE PRECISIÓN,,,,,
51424103,GUANTES DE PRECISIÓN,,,,,
51424104,GUANTES DE PRECISIÓN,,,,,
51424105,GUANTES DE PRECISIÓN,,,,,
51424106,GUANTES DE PRECISIÓN,,,,,
51424107,GUANTES DE PRECISIÓN,,,,,
51424201,GUANTES,,,,,
51424202,GUANTES,,,,,
51424203,GUANTES,,,,,
51424204,GUANTES,,,,,
51424205,GUANTES,,,,,
51424206,GUANTES,,,,,
51424207,GUANTES,,,,,
51424208,GUANTES,,,,,
51425101,GAFAS DE SEGURIDAD,,,,,
51425102,GAFAS DE SEGURIDAD,,,,,
51425104,GAFAS DE SEGURIDAD,,,,,
51425105,GAFAS DE SEGURIDAD,,,,,
51425106,GAFAS DE SEGURIDAD,,,,,
51425107,GAFAS DE SEGURIDAD,,,,,
51425108,GAFAS DE SEGURIDAD,,,,,
51425109,GAFAS DE SEGURIDAD,,,,,
51425110,GAFAS DE SEGURIDAD,,,,,
51425111,GAFAS DE SEGURIDAD,,,,,
51425112,GAFAS DE SEGURIDAD,,,,,
51425113,GAFAS DE SEGURIDAD,,,,,
51523101,COFIA,,,,,
51526101,CHALECO DE SEGURIDAD,,,,,
